date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:44:06	179706/179706	---M-Z	200	added ('OK')	text/html	etag:%221dc9d33-2bdfa-5edbb9d2a0fc0-gzip%22	https://themes.pixelstrap.com/fastkart/front-end/index-6.html	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/front-end/index-6.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:08	204806/204806	---M--	200	added ('OK')	text/css	etag:%221dc59ae-32006-5dab2a01f6840%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:10	135068/135068	---M-Z	200	added ('OK')	text/html	etag:%221dc9d34-20f9c-5ec12378b5d40-gzip%22	https://themes.pixelstrap.com/fastkart/front-end/index-8.html	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/front-end/index-8.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:10	159485/159485	---M-Z	200	added ('OK')	text/html	etag:%221dc9d0c-26efd-5edbb9d2a0fc0-gzip%22	https://themes.pixelstrap.com/fastkart/front-end/index-7.html	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/front-end/index-7.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:13	166376/166376	---M-Z	200	added ('OK')	text/html	etag:%221dc9d0d-289e8-5f1cc9c369b00-gzip%22	https://themes.pixelstrap.com/fastkart/front-end/index-9.html	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/front-end/index-9.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:26	35953/35953	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f01-8c71-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/2.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/2.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:27	21273/21273	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f4a-5319-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/4.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/4.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:29	32694/32694	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f54-7fb6-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/5.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/5.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:31	54618/54618	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f22-d55a-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/3.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/3.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:31	30003/30003	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f6b-7533-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/6.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/6.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:33	28988/28988	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f6c-713c-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/7.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/7.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:38	124807/124807	---M--	200	added ('OK')	image/jpeg	etag:%221dc5ed9-1e787-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/1.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/1.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:41	5021/5021	---M--	200	added ('OK')	image/png	etag:%221dc5ebb-139d-5e4ae8c5e8380%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/product/23.png	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/product/23.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:41	73787/73787	---M--	200	added ('OK')	image/jpeg	etag:%221dc5f6d-1203b-5e4ae7d77d100%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/8.jpg	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/banner/8.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
01:44:42	5068/5068	---M--	200	added ('OK')	image/png	etag:%221dc5ebc-13cc-5e4ae8c5e8380%22	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/product/24.png	C:/My%20Web%20Sites/new%20shopping%20mall/themes.pixelstrap.com/fastkart/assets/images/vegetable/product/24.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
